,Aspect,avg_diff,max_diff,min_diff,median_diff,perc_diff_positive,perc_diff_negative,row_count
1,card_number,0.24,0.9,-0.2,0.1,63.95,16.28,86
4,insert_set,0.09,0.94,-0.17,0.0,41.18,34.84,221
9,set,0.07,0.74,-0.2,0.0,41.18,32.35,34
11,team,0.02,0.83,-0.28,-0.0,38.81,46.27,67
5,league,0.01,0.28,-0.23,-0.0,35.62,50.68,73
10,subset,0.01,0.74,-0.06,0.0,31.67,32.5,240
7,print_run,0.01,0.63,-0.15,0.0,37.56,36.65,221
6,manufacturer,0.01,0.25,-0.07,-0.0,27.27,54.55,22
0,autographed,-0.0,0.19,-0.17,0.0,38.6,42.11,114
3,features,-0.0,0.55,-0.41,-0.0,40.85,47.89,71
2,character,-0.0,0.0,-0.0,0.0,33.75,32.08,240
8,season,-0.0,0.16,-0.17,-0.0,33.33,33.33,9
12,year,-0.0,0.0,-0.0,0.0,30.83,34.58,240
