,Aspect,avg_diff,max_diff,min_diff,perc_diff_positive,perc_diff_negative,added_count,updated_count,different_value
13,style_code,0.63,0.94,-0.37,2.61,3.73,300,236,107
6,model,0.55,0.55,-0.09,0.19,0.19,16,514,280
0,TITLE_TXT,0.49,0.96,-0.28,4.85,2.61,0,536,0
7,nickname,0.31,0.74,-0.14,3.63,1.07,217,251,212
5,manufacturer_color,0.3,0.91,-0.24,3.24,2.29,511,14,9
3,color,0.16,0.41,-0.56,1.49,0.75,1,535,262
16,upper_material,0.12,0.17,-0.02,1.2,0.0,174,160,99
9,product_line,0.09,0.09,-0.01,0.48,0.0,57,363,196
1,brand,,0.01,-0.0,0.0,0.0,0,536,26
2,collaboration,,0.04,-0.0,0.0,0.0,5,2,1
4,department,,0.02,-0.02,0.0,0.0,1,535,48
8,performance/activity,,0.0,-0.0,0.0,0.0,1,3,1
10,release_year,,0.01,-0.0,0.0,0.0,32,18,3
11,shoe_shaft_style,,0.01,-0.01,0.0,0.0,60,94,5
12,style,,0.01,-0.0,0.0,0.0,26,510,6
14,sub_model,,0.0,-0.01,0.0,0.0,14,0,0
15,type,,0.0,-0.0,0.0,0.0,1,535,0
